Capture,Detector,IBL ,Progen,myBio,ELLA,abcam,Encor,abnova,RnD,PK,Origene
NF31,NF31,1.3,1.7,1.9,1.6,2.2,1.2,1.2,1.4,1.9,1.4
NF31,NF36,10.9,9.7,10.1,11.5,3.8,5.3,1.8,1.2,1.6,1.2
NF31,NF71,17.9,16.3,17.8,19.8,6.2,8.7,2.3,1.2,2.1,1.2
NF31,NF79,1.7,2.3,2.0,2.4,2.0,1.5,1.3,1.4,1.6,1.2
NF36,NF31,6.7,7.4,8.3,8.3,7.5,4.3,1.8,1.8,2.2,1.0
NF36,NF36,1.2,1.2,1.2,1.2,1.1,1.0,1.0,1.0,1.1,1.0
NF36,NF71,6.6,6.7,6.8,6.8,2.6,3.3,1.2,0.9,1.3,1.0
NF36,NF79,4.9,6.1,5.4,6.3,3.2,3.0,1.4,1.4,1.5,1.0
NF71,NF31,2.8,3.6,4.0,3.9,4.3,2.4,1.5,1.2,1.8,1.1
NF71,NF36,3.6,4.1,4.2,4.2,2.0,2.5,1.2,1.0,1.2,1.0
NF71,NF71,1.5,1.8,1.8,1.9,1.9,1.3,1.1,1.0,1.3,1.1
NF71,NF79,4.0,5.8,5.2,5.8,3.0,3.0,1.4,1.2,1.5,1.1
NF79,NF31,1.1,1.2,1.2,1.3,1.7,1.0,1.0,1.2,1.5,0.9
NF79,NF36,10.9,10.1,10.8,11.8,3.7,5.5,1.5,1.0,1.6,1.1
NF79,NF71,22.0,21.1,22.5,25.2,7.1,11.3,2.2,1.0,2.0,1.1
NF79,NF79,1.3,1.5,1.5,1.4,1.4,1.1,1.1,1.1,1.3,1.0
