C,B,Capture,Detector,IBL_SNR,RnD_SNR,PK_SNR,Label
47:03:00,2.1,47:03:00,2.1,12.5,10.26,,47:3 - 2.1
1,3,268014,NfL21,17.4,1.1,3.1,268014 - NfL21
1,4,268014,NfL23,23.8,1,3.8,268014 - NfL23
2,1,985917,268014,5.7,15.6,12.4,985917 - 268014
3,1,NfL21,268014,10.6,7.8,4.9,NfL21 - 268014
4,1,NfL23,268014,9,6.2,4.8,NfL23 - 268014
6,3,OTI3G2,NfL21,6.7,1,1.5,OTI3G2 - NfL21
6,4,OTI3G2,NfL23,8.5,0.9,1.9,OTI3G2 - NfL23
6,7,OTI3G2,OTI2F5,7.4,11.2,1.7,OTI3G2 - OTI2F5
7,1,OTI2F5,268014,6.3,11.5,3.2,OTI2F5 - 268014
8,1,5C12G4,268014,16.1,13.2,12.3,5C12G4 - 268014
8,3,5C12G4,NfL21,10.1,1.1,2.8,5C12G4 - NfL21
8,4,5C12G4,NfL23,16.5,1,3.5,5C12G4 - NfL23
9,1,DA2,268014,18.9,6.9,15.1,DA2 - 268014
9,3,DA2,NfL21,7.3,1,2.6,DA2 - NfL21
9,4,DA2,NfL23,11.2,1.1,3.6,DA2 - NfL23
36,71,NF36,NF71,6.6,0.9,1.3,NF36 - NF71
36,79,NF36,NF79,4.9,1.4,1.5,NF36 - NF79
36,31,NF36,NF31,6.7,1.8,2.2,NF36 - NF31
79,36,NF79,NF36,10.9,1,1.6,NF79 - NF36
79,71,NF79,NF71,22,1,2,NF79 - NF71
31,36,NF31,NF36,10.9,1.2,1.6,NF31 - NF36
31,71,NF31,NF71,17.9,1.2,2.1,NF31 - NF71
